BaseBeh,BarBeh,WorkBeh,LightBeh,HeavyBeh,RangedBeh,Fit01,Fit02,Fit03,Fit04,Fit05,Fit06,Fit07,Fit08,Fit09,Fit10,Fit11,Fit12,Fit13,Fit14,FitTot
ONEWORKER,HEAVY,HARVESTER,LESSPERCHP,LESSHP,LESSPERCHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9
ONEWORKER,HEAVY,HARVESTER,LESSPERCHP,LESSHP,CLOSEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9
ONEWORKER,HEAVY,HARVESTER,LESSPERCHP,LESSHP,CLOSESTDIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4
ONEWORKER,HEAVY,HARVESTER,LESSPERCHP,LESSPERCHP,LESSHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,14
ONEWORKER,HEAVY,HARVESTER,LESSPERCHP,LESSPERCHP,LESSPERCHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10
ONEWORKER,HEAVY,HARVESTER,LESSPERCHP,LESSPERCHP,CLOSEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15
ONEWORKER,HEAVY,HARVESTER,LESSPERCHP,LESSPERCHP,CLOSESTDIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18
ONEWORKER,HEAVY,HARVESTER,LESSPERCHP,CLOSEST,LESSHP,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,293
ONEWORKER,HEAVY,HARVESTER,LESSPERCHP,CLOSEST,LESSPERCHP,100.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,297
ONEWORKER,HEAVY,HARVESTER,LESSPERCHP,CLOSEST,CLOSEST,100.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,1.0,0.0,0.0,299
ONEWORKER,HEAVY,HARVESTER,LESSPERCHP,CLOSEST,CLOSESTDIRECT,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,1.0,0.0,0.0,293
ONEWORKER,HEAVY,HARVESTER,CLOSEST,LESSHP,LESSHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6
ONEWORKER,HEAVY,HARVESTER,CLOSEST,LESSHP,LESSPERCHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10
ONEWORKER,HEAVY,HARVESTER,CLOSEST,LESSHP,CLOSEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6
ONEWORKER,HEAVY,HARVESTER,CLOSEST,LESSHP,CLOSESTDIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6
ONEWORKER,HEAVY,HARVESTER,CLOSEST,LESSPERCHP,LESSHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,14
ONEWORKER,HEAVY,HARVESTER,CLOSEST,LESSPERCHP,LESSPERCHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,13
ONEWORKER,HEAVY,HARVESTER,CLOSEST,LESSPERCHP,CLOSEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,16
ONEWORKER,HEAVY,HARVESTER,CLOSEST,LESSPERCHP,CLOSESTDIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19
ONEWORKER,HEAVY,HARVESTER,CLOSEST,CLOSEST,LESSHP,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,2.0,0.0,0.0,299
ONEWORKER,HEAVY,HARVESTER,CLOSEST,CLOSEST,LESSPERCHP,100.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,295
ONEWORKER,HEAVY,HARVESTER,CLOSEST,CLOSEST,CLOSEST,100.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,295
ONEWORKER,HEAVY,HARVESTER,CLOSEST,CLOSEST,CLOSESTDIRECT,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,1.0,0.0,0.0,298
ONEWORKER,HEAVY,AGGRESSIVE,LESSHP,LESSHP,LESSHP,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,109
ONEWORKER,HEAVY,AGGRESSIVE,LESSHP,LESSHP,LESSPERCHP,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,112
ONEWORKER,HEAVY,AGGRESSIVE,LESSHP,LESSHP,CLOSEST,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,114
