BaseBeh,BarBeh,WorkBeh,LightBeh,HeavyBeh,RangedBeh,Fit01,Fit02,Fit03,Fit04,Fit05,Fit06,Fit07,Fit08,Fit09,Fit10,Fit11,Fit12,Fit13,Fit14,FitTot
ONEWORKER,LIGHT,AGGRESSIVE,LESSPERCHP,CLOSEST,CLOSESTDIRECT,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,0.0,0.0,1080
ONEWORKER,LIGHT,AGGRESSIVE,CLOSEST,LESSHP,LESSHP,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,76.0,100.0,100.0,100.0,0.0,0.0,1076
ONEWORKER,LIGHT,AGGRESSIVE,CLOSEST,LESSHP,LESSPERCHP,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,69.0,100.0,100.0,100.0,0.0,0.0,1069
ONEWORKER,LIGHT,AGGRESSIVE,CLOSEST,LESSHP,CLOSEST,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,0.0,0.0,1075
ONEWORKER,LIGHT,AGGRESSIVE,CLOSEST,LESSHP,CLOSESTDIRECT,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,71.0,100.0,100.0,100.0,0.0,0.0,1071
ONEWORKER,LIGHT,AGGRESSIVE,CLOSEST,LESSPERCHP,LESSHP,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,71.0,100.0,100.0,100.0,0.0,0.0,1071
ONEWORKER,LIGHT,AGGRESSIVE,CLOSEST,LESSPERCHP,LESSPERCHP,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,71.0,100.0,100.0,100.0,0.0,0.0,1071
ONEWORKER,LIGHT,AGGRESSIVE,CLOSEST,LESSPERCHP,CLOSEST,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,81.0,100.0,100.0,100.0,0.0,0.0,1081
ONEWORKER,LIGHT,AGGRESSIVE,CLOSEST,LESSPERCHP,CLOSESTDIRECT,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,0.0,0.0,1075
ONEWORKER,LIGHT,AGGRESSIVE,CLOSEST,CLOSEST,LESSHP,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,78.0,100.0,100.0,100.0,0.0,0.0,1078
ONEWORKER,LIGHT,AGGRESSIVE,CLOSEST,CLOSEST,LESSPERCHP,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,73.0,100.0,100.0,100.0,0.0,0.0,1073
ONEWORKER,LIGHT,AGGRESSIVE,CLOSEST,CLOSEST,CLOSEST,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,66.0,100.0,100.0,100.0,0.0,0.0,1066
ONEWORKER,LIGHT,AGGRESSIVE,CLOSEST,CLOSEST,CLOSESTDIRECT,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,72.0,100.0,100.0,100.0,0.0,0.0,1072
ONEWORKER,HEAVY,HARVESTER,LESSHP,LESSHP,LESSHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,12
ONEWORKER,HEAVY,HARVESTER,LESSHP,LESSHP,LESSPERCHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9
