BaseBeh,BarBeh,WorkBeh,LightBeh,HeavyBeh,RangedBeh,Fit01,Fit02,Fit03,Fit04,Fit05,Fit06,Fit07,Fit08,Fit09,Fit10,Fit11,Fit12,Fit13,Fit14,FitTot
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSEST,CLOSBUIL,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1100.0,910.0,910.0,-410.0,380.0,520.0,6650.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,WAIT,LESSHP,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1140.0,910.0,910.0,-450.0,380.0,520.0,6650.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,WAIT,LESSPERCHP,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1160.0,910.0,910.0,-410.0,380.0,520.0,6710.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,WAIT,CLOSEST,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1110.0,910.0,910.0,-410.0,380.0,520.0,6660.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,WAIT,CLOSESTDIRECT,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1000.0,910.0,910.0,-410.0,380.0,520.0,6550.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,WAIT,WAIT,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1200.0,910.0,910.0,-410.0,380.0,520.0,6750.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,WAIT,CLOSBUIL,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1140.0,910.0,910.0,-410.0,380.0,520.0,6690.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSBUIL,LESSHP,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1100.0,910.0,910.0,-410.0,380.0,520.0,6650.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSBUIL,LESSPERCHP,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1180.0,910.0,910.0,-410.0,380.0,520.0,6730.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSBUIL,CLOSEST,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1010.0,910.0,910.0,-450.0,380.0,520.0,6520.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSBUIL,CLOSESTDIRECT,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1170.0,910.0,910.0,-410.0,380.0,520.0,6720.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSBUIL,WAIT,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1190.0,910.0,910.0,-410.0,380.0,520.0,6740.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSBUIL,CLOSBUIL,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1140.0,910.0,910.0,-410.0,380.0,520.0,6690.0
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSHP,LESSHP,1110.0,900.0,-80.0,1110.0,120.0,120.0,-200.0,-40.0,1100.0,910.0,910.0,-410.0,380.0,520.0,6450.0
